Degree,Major,Skill1,Skill2,Certification,ExperienceYears,ProjectCount,Internship,ExperienceLevel,JobRole
MBA,Electronics,Deep Learning,Machine Learning,Azure,10,0,No,Senior,ML Engineer
B.Tech,Electronics,SQL,Machine Learning,None,1,2,Yes,Junior,ML Engineer
BCA,Computer Science,Data Analysis,C++,AI Specialist,7,5,No,Senior,Data Analyst
B.Tech,Computer Science,C++,C++,Data Analytics,0,2,No,Fresher,AI Engineer
MBA,Computer Science,Deep Learning,Cloud,None,10,8,No,Senior,ML Engineer
MBA,Computer Science,Python,C++,AI Specialist,11,6,Yes,Expert,Software Developer
MBA,AI,Java,Java,Azure,4,4,Yes,Mid,Data Analyst
MBA,IT,Cloud,C++,Cybersecurity,8,1,No,Senior,Security Analyst
M.Tech,AI,Cloud,C++,GCP,11,8,Yes,Expert,Cloud Engineer
BCA,Electronics,Cloud,C++,AI Specialist,8,4,Yes,Senior,Security Analyst
MBA,AI,SQL,Data Analysis,Cybersecurity,1,6,Yes,Junior,Data Analyst
MBA,Data Science,Deep Learning,SQL,None,6,8,Yes,Senior,ML Engineer
MCA,Business,Data Analysis,C++,None,10,3,Yes,Senior,Data Analyst
BCA,Computer Science,Data Analysis,Java,Azure,0,8,Yes,Fresher,Software Developer
B.Tech,Data Science,Deep Learning,Data Analysis,GCP,2,0,Yes,Junior,ML Engineer
BCA,Business,C++,Machine Learning,AWS,5,5,Yes,Mid,ML Engineer
BCA,Data Science,Python,SQL,AWS,8,1,Yes,Senior,Data Scientist
BCA,Electronics,Machine Learning,Python,None,9,7,No,Senior,ML Engineer
MBA,Computer Science,Deep Learning,Data Analysis,Cybersecurity,1,4,No,Junior,ML Engineer
MBA,Data Science,Java,C++,GCP,6,2,Yes,Senior,Data Analyst
M.Tech,Electronics,C++,Data Analysis,Cybersecurity,14,1,Yes,Expert,Data Analyst
B.Tech,Computer Science,Deep Learning,Cloud,GCP,3,7,Yes,Mid,ML Engineer
MCA,IT,Deep Learning,Cloud,GCP,1,6,Yes,Junior,ML Engineer
BCA,Electronics,C++,Data Analysis,None,2,8,No,Junior,Data Analyst
B.Tech,AI,C++,Machine Learning,Cybersecurity,5,7,No,Mid,ML Engineer
B.Tech,Computer Science,SQL,Machine Learning,None,9,3,No,Senior,ML Engineer
M.Tech,Data Science,Deep Learning,SQL,GCP,8,1,Yes,Senior,ML Engineer
MCA,Business,Machine Learning,Cloud,AI Specialist,7,1,Yes,Senior,ML Engineer
BCA,Data Science,Java,Python,Azure,9,1,Yes,Senior,Data Scientist
MCA,AI,Python,Deep Learning,GCP,13,5,Yes,Expert,Data Scientist
M.Tech,AI,Python,Cloud,AI Specialist,10,6,Yes,Senior,Data Scientist
MBA,Data Science,Machine Learning,Data Analysis,GCP,8,5,Yes,Senior,ML Engineer
B.Tech,Business,Data Analysis,Cloud,AI Specialist,3,1,Yes,Mid,Data Analyst
BCA,Computer Science,C++,Java,Cybersecurity,11,3,Yes,Expert,Software Developer
MBA,Electronics,C++,Deep Learning,AWS,3,2,Yes,Mid,ML Engineer
M.Tech,AI,Data Analysis,Machine Learning,Data Analytics,14,3,Yes,Expert,ML Engineer
MCA,AI,C++,Deep Learning,GCP,8,4,No,Senior,ML Engineer
B.Tech,AI,Data Analysis,Cloud,Data Analytics,7,6,Yes,Senior,Data Analyst
BCA,Business,Deep Learning,Machine Learning,GCP,11,8,Yes,Expert,ML Engineer
MBA,IT,Data Analysis,Deep Learning,Cybersecurity,14,1,Yes,Expert,ML Engineer
MBA,Business,C++,Machine Learning,Cybersecurity,1,7,No,Junior,ML Engineer
B.Tech,Computer Science,C++,Machine Learning,AI Specialist,7,2,Yes,Senior,ML Engineer
MCA,Computer Science,Deep Learning,SQL,GCP,0,8,No,Fresher,ML Engineer
M.Tech,Computer Science,Data Analysis,Python,Cybersecurity,8,9,Yes,Senior,Data Analyst
MCA,Computer Science,Deep Learning,Machine Learning,Cybersecurity,8,3,No,Senior,ML Engineer
MCA,Computer Science,Machine Learning,Java,GCP,12,2,Yes,Expert,ML Engineer
MCA,Data Science,SQL,Cloud,AI Specialist,14,9,Yes,Expert,Data Analyst
B.Tech,AI,Deep Learning,Cloud,AI Specialist,7,5,Yes,Senior,ML Engineer
B.Tech,Business,Java,Java,AI Specialist,10,9,Yes,Senior,Business Analyst
M.Tech,Data Science,C++,C++,AI Specialist,4,8,No,Mid,AI Engineer
MCA,Business,SQL,Machine Learning,AWS,4,6,Yes,Mid,ML Engineer
B.Tech,IT,Python,Data Analysis,GCP,12,3,Yes,Expert,Data Analyst
M.Tech,Electronics,Machine Learning,Machine Learning,None,2,2,No,Junior,ML Engineer
M.Tech,AI,Data Analysis,Machine Learning,AWS,4,9,Yes,Mid,ML Engineer
MCA,IT,SQL,Data Analysis,Cybersecurity,3,3,No,Mid,Data Analyst
BCA,Data Science,Deep Learning,Deep Learning,AWS,0,2,Yes,Fresher,ML Engineer
MCA,Electronics,C++,Machine Learning,None,8,2,No,Senior,ML Engineer
BCA,IT,C++,Machine Learning,None,14,8,Yes,Expert,ML Engineer
M.Tech,Business,C++,Java,None,9,3,Yes,Senior,Business Analyst
B.Tech,Electronics,SQL,Python,AI Specialist,13,8,Yes,Expert,Data Analyst
MBA,Business,C++,Python,Cybersecurity,3,9,Yes,Mid,Security Analyst
M.Tech,IT,Deep Learning,C++,AWS,2,4,Yes,Junior,ML Engineer
B.Tech,Data Science,Data Analysis,Java,AWS,5,6,Yes,Mid,Data Analyst
M.Tech,Business,SQL,Machine Learning,GCP,0,4,No,Fresher,ML Engineer
MCA,Electronics,C++,Python,AWS,4,0,No,Mid,Security Analyst
BCA,IT,Python,SQL,Cybersecurity,14,1,No,Expert,Data Analyst
M.Tech,Business,Python,SQL,AI Specialist,6,4,No,Senior,Data Analyst
B.Tech,Data Science,Java,SQL,GCP,1,5,No,Junior,Data Analyst
MCA,AI,C++,Machine Learning,AWS,9,6,No,Senior,ML Engineer
MBA,Data Science,C++,Machine Learning,GCP,8,1,No,Senior,ML Engineer
MCA,Data Science,SQL,Data Analysis,Data Analytics,11,9,Yes,Expert,Data Analyst
BCA,AI,SQL,C++,GCP,14,8,No,Expert,Data Analyst
MCA,Data Science,Cloud,Cloud,None,5,5,No,Mid,AI Engineer
MBA,AI,Data Analysis,C++,AI Specialist,1,1,No,Junior,Data Analyst
B.Tech,AI,C++,C++,None,7,1,Yes,Senior,Software Developer
M.Tech,Business,Java,Deep Learning,Data Analytics,7,2,Yes,Senior,ML Engineer
BCA,Business,Data Analysis,SQL,None,0,0,No,Fresher,Data Analyst
MBA,AI,C++,Machine Learning,Data Analytics,11,8,No,Expert,ML Engineer
BCA,IT,Data Analysis,SQL,GCP,0,9,Yes,Fresher,Data Analyst
MCA,Electronics,Deep Learning,C++,Cybersecurity,0,3,Yes,Fresher,ML Engineer
BCA,IT,SQL,Machine Learning,AI Specialist,11,4,Yes,Expert,ML Engineer
MBA,AI,C++,Java,Cybersecurity,3,6,Yes,Mid,Security Analyst
M.Tech,Electronics,Data Analysis,Data Analysis,AI Specialist,3,0,Yes,Mid,Data Analyst
M.Tech,Business,SQL,Python,AI Specialist,7,2,Yes,Senior,Data Analyst
BCA,Electronics,C++,Python,None,0,2,No,Fresher,Security Analyst
B.Tech,AI,Machine Learning,C++,None,9,1,Yes,Senior,ML Engineer
BCA,Business,SQL,Cloud,Cybersecurity,2,7,Yes,Junior,Data Analyst
MCA,Electronics,Data Analysis,SQL,Azure,10,4,No,Senior,Data Analyst
M.Tech,Electronics,Java,Java,Data Analytics,0,0,Yes,Fresher,Security Analyst
M.Tech,IT,Machine Learning,Machine Learning,None,8,1,Yes,Senior,ML Engineer
M.Tech,Electronics,Deep Learning,Cloud,None,9,0,Yes,Senior,ML Engineer
B.Tech,AI,C++,SQL,None,11,5,Yes,Expert,Data Analyst
B.Tech,Computer Science,Cloud,C++,GCP,8,8,No,Senior,Cloud Engineer
MBA,Computer Science,Deep Learning,SQL,Cybersecurity,6,6,No,Senior,ML Engineer
BCA,Computer Science,SQL,C++,Cybersecurity,12,4,Yes,Expert,Data Analyst
BCA,AI,Machine Learning,Deep Learning,None,11,2,Yes,Expert,ML Engineer
MCA,Computer Science,Deep Learning,Python,GCP,14,7,Yes,Expert,ML Engineer
M.Tech,IT,Java,Cloud,None,7,9,No,Senior,Software Developer
B.Tech,AI,Cloud,Python,Data Analytics,0,3,No,Fresher,Data Scientist
MCA,Business,SQL,SQL,GCP,4,8,Yes,Mid,Data Analyst
MCA,AI,Machine Learning,Java,None,14,4,Yes,Expert,ML Engineer
B.Tech,AI,Deep Learning,Machine Learning,AI Specialist,13,5,No,Expert,ML Engineer
BCA,Electronics,Machine Learning,C++,Azure,1,4,No,Junior,ML Engineer
M.Tech,Electronics,Machine Learning,Machine Learning,AI Specialist,12,9,Yes,Expert,ML Engineer
BCA,Electronics,Deep Learning,Python,Azure,0,6,No,Fresher,ML Engineer
MCA,Data Science,Python,Data Analysis,GCP,2,6,Yes,Junior,Data Scientist
M.Tech,IT,C++,Java,AI Specialist,6,0,Yes,Senior,Software Developer
MBA,AI,Data Analysis,Java,Data Analytics,0,1,Yes,Fresher,Data Analyst
MCA,AI,SQL,Machine Learning,AI Specialist,10,6,Yes,Senior,ML Engineer
BCA,Electronics,SQL,Python,Cybersecurity,1,7,Yes,Junior,Data Analyst
BCA,AI,Cloud,Data Analysis,Azure,1,3,Yes,Junior,Data Analyst
BCA,Business,Cloud,Machine Learning,Azure,3,5,Yes,Mid,ML Engineer
B.Tech,AI,Cloud,SQL,None,14,9,Yes,Expert,Data Analyst
MCA,Computer Science,SQL,Java,Data Analytics,11,2,Yes,Expert,Software Developer
M.Tech,Business,Machine Learning,Java,Azure,2,6,Yes,Junior,ML Engineer
BCA,Business,Cloud,SQL,Azure,2,2,No,Junior,Data Analyst
BCA,AI,Deep Learning,Python,None,9,6,Yes,Senior,Data Scientist
B.Tech,Data Science,C++,Java,Data Analytics,4,7,Yes,Mid,Software Developer
M.Tech,Electronics,Java,Cloud,AI Specialist,2,2,No,Junior,Security Analyst
MCA,IT,SQL,Data Analysis,GCP,10,1,Yes,Senior,Data Analyst
MBA,IT,Deep Learning,Deep Learning,AI Specialist,6,5,Yes,Senior,ML Engineer
B.Tech,Computer Science,C++,Deep Learning,Cybersecurity,4,3,Yes,Mid,ML Engineer
MCA,IT,C++,Deep Learning,Cybersecurity,3,7,No,Mid,ML Engineer
MBA,IT,Python,C++,Azure,11,1,No,Expert,Data Analyst
BCA,Electronics,Data Analysis,Cloud,Cybersecurity,2,3,Yes,Junior,Data Analyst
BCA,Electronics,Deep Learning,C++,GCP,14,1,Yes,Expert,ML Engineer
M.Tech,Data Science,SQL,Python,Azure,11,1,Yes,Expert,Data Scientist
MBA,Computer Science,Cloud,SQL,None,3,1,No,Mid,Data Analyst
BCA,IT,Machine Learning,Machine Learning,Cybersecurity,13,0,Yes,Expert,ML Engineer
BCA,Data Science,Cloud,Cloud,None,14,3,No,Expert,Data Analyst
M.Tech,Computer Science,C++,Data Analysis,AWS,11,1,Yes,Expert,Data Analyst
MCA,Business,C++,Python,AWS,1,8,Yes,Junior,Business Analyst
BCA,IT,Java,Machine Learning,AWS,0,8,No,Fresher,ML Engineer
B.Tech,IT,Cloud,Python,None,2,6,No,Junior,Data Analyst
B.Tech,Electronics,Data Analysis,C++,AWS,10,5,Yes,Senior,Data Analyst
MCA,AI,Data Analysis,Deep Learning,AI Specialist,1,2,Yes,Junior,ML Engineer
MBA,Computer Science,Python,SQL,AWS,0,6,Yes,Fresher,Data Analyst
M.Tech,IT,Data Analysis,C++,Azure,0,0,Yes,Fresher,Data Analyst
B.Tech,Computer Science,C++,SQL,Data Analytics,1,8,Yes,Junior,Data Analyst
B.Tech,Data Science,C++,Cloud,AI Specialist,12,3,Yes,Expert,Software Developer
MCA,Data Science,Data Analysis,Machine Learning,Data Analytics,12,5,Yes,Expert,ML Engineer
MBA,AI,Machine Learning,Python,Azure,8,5,Yes,Senior,Data Scientist
MBA,IT,Machine Learning,Java,Azure,12,2,Yes,Expert,ML Engineer
MCA,Electronics,Data Analysis,Java,GCP,12,3,Yes,Expert,Data Analyst
B.Tech,IT,Java,SQL,AI Specialist,4,9,Yes,Mid,Software Developer
M.Tech,Computer Science,Deep Learning,Deep Learning,Data Analytics,8,2,No,Senior,ML Engineer
B.Tech,Business,Java,Deep Learning,AWS,7,5,Yes,Senior,ML Engineer
MBA,Data Science,Java,SQL,Azure,12,0,Yes,Expert,Data Analyst
B.Tech,Computer Science,Data Analysis,C++,AWS,10,7,Yes,Senior,Data Analyst
M.Tech,AI,Machine Learning,Java,Data Analytics,5,7,Yes,Mid,ML Engineer
BCA,Data Science,Cloud,C++,None,0,8,Yes,Fresher,Software Developer
B.Tech,Electronics,Cloud,Machine Learning,AI Specialist,9,5,Yes,Senior,ML Engineer
MCA,Data Science,Data Analysis,Java,Cybersecurity,4,0,Yes,Mid,Data Analyst
BCA,Business,Cloud,Machine Learning,None,11,2,No,Expert,ML Engineer
MCA,IT,Deep Learning,Python,None,0,0,No,Fresher,ML Engineer
MCA,Business,Machine Learning,C++,Cybersecurity,6,4,Yes,Senior,ML Engineer
MCA,Business,Data Analysis,SQL,Azure,9,2,Yes,Senior,Data Analyst
B.Tech,IT,Python,Java,GCP,13,1,Yes,Expert,Software Developer
MBA,Data Science,SQL,C++,AWS,10,2,Yes,Senior,Data Analyst
BCA,AI,SQL,SQL,Azure,7,8,Yes,Senior,Data Analyst
M.Tech,IT,Data Analysis,Python,GCP,7,7,Yes,Senior,Data Analyst
MBA,IT,Data Analysis,Java,AWS,6,2,Yes,Senior,Software Developer
B.Tech,Electronics,Python,Machine Learning,Data Analytics,1,1,No,Junior,ML Engineer
MCA,Data Science,Cloud,Python,None,4,4,Yes,Mid,Data Scientist
M.Tech,IT,SQL,Deep Learning,None,3,0,Yes,Mid,ML Engineer
BCA,AI,Deep Learning,SQL,Cybersecurity,4,3,No,Mid,ML Engineer
MBA,Computer Science,Data Analysis,Data Analysis,GCP,9,7,Yes,Senior,Data Analyst
MBA,Data Science,Machine Learning,Java,AWS,8,0,Yes,Senior,ML Engineer
M.Tech,Electronics,SQL,Java,Azure,14,4,Yes,Expert,Data Analyst
B.Tech,Business,Deep Learning,Cloud,AWS,3,3,Yes,Mid,ML Engineer
BCA,IT,Machine Learning,Cloud,Azure,14,5,Yes,Expert,ML Engineer
M.Tech,AI,Data Analysis,Python,None,14,6,Yes,Expert,Data Scientist
MCA,Data Science,Deep Learning,Java,Cybersecurity,11,8,Yes,Expert,ML Engineer
BCA,AI,Python,SQL,Cybersecurity,7,0,Yes,Senior,Data Scientist
MBA,AI,Data Analysis,Python,AWS,7,9,No,Senior,Data Scientist
M.Tech,Business,Java,Machine Learning,AWS,1,3,Yes,Junior,ML Engineer
MBA,Electronics,Python,Python,Azure,13,5,Yes,Expert,Security Analyst
MBA,Data Science,SQL,Python,Azure,5,9,No,Mid,Data Scientist
MBA,IT,Machine Learning,Data Analysis,GCP,4,6,Yes,Mid,ML Engineer
B.Tech,Electronics,Deep Learning,Machine Learning,None,1,6,Yes,Junior,ML Engineer
MBA,IT,SQL,Deep Learning,GCP,11,7,Yes,Expert,ML Engineer
MCA,Computer Science,SQL,Cloud,GCP,9,9,Yes,Senior,Data Analyst
MCA,AI,Data Analysis,SQL,AWS,3,7,Yes,Mid,Data Analyst
BCA,Computer Science,Java,Deep Learning,AI Specialist,6,7,Yes,Senior,ML Engineer
MBA,AI,Cloud,Deep Learning,AI Specialist,12,7,No,Expert,ML Engineer
MBA,Business,SQL,Deep Learning,AI Specialist,0,7,Yes,Fresher,ML Engineer
M.Tech,Electronics,Java,Cloud,AI Specialist,14,5,Yes,Expert,Security Analyst
B.Tech,IT,Machine Learning,C++,GCP,8,8,Yes,Senior,ML Engineer
BCA,Business,Machine Learning,Cloud,AWS,9,2,Yes,Senior,ML Engineer
MBA,IT,Deep Learning,Deep Learning,AI Specialist,11,5,Yes,Expert,ML Engineer
M.Tech,Electronics,Cloud,C++,Cybersecurity,0,4,Yes,Fresher,Security Analyst
B.Tech,Data Science,Java,Machine Learning,Data Analytics,14,7,Yes,Expert,ML Engineer
BCA,Computer Science,Python,Cloud,Cybersecurity,11,3,Yes,Expert,Security Analyst
BCA,Computer Science,Machine Learning,SQL,AWS,4,3,No,Mid,ML Engineer
MBA,IT,Data Analysis,Deep Learning,AWS,6,9,No,Senior,ML Engineer
BCA,IT,Cloud,Java,Data Analytics,7,9,Yes,Senior,Software Developer
M.Tech,IT,Deep Learning,Machine Learning,Azure,1,4,No,Junior,ML Engineer
BCA,Electronics,Python,C++,Azure,3,5,Yes,Mid,Security Analyst
MCA,Data Science,Machine Learning,Cloud,Azure,1,3,No,Junior,ML Engineer
M.Tech,Computer Science,Machine Learning,SQL,GCP,3,1,Yes,Mid,ML Engineer
B.Tech,Business,Deep Learning,Python,Azure,14,1,Yes,Expert,ML Engineer
B.Tech,AI,Deep Learning,SQL,None,5,2,No,Mid,ML Engineer
MBA,Electronics,C++,SQL,GCP,5,1,Yes,Mid,Data Analyst
MBA,Computer Science,Data Analysis,Deep Learning,GCP,11,0,No,Expert,ML Engineer
MCA,Data Science,SQL,Deep Learning,Azure,12,7,Yes,Expert,ML Engineer
B.Tech,Electronics,SQL,Cloud,Azure,1,4,Yes,Junior,Data Analyst
B.Tech,Business,Python,Cloud,Data Analytics,10,9,Yes,Senior,Business Analyst
B.Tech,Computer Science,SQL,Data Analysis,AI Specialist,3,0,No,Mid,Data Analyst
B.Tech,Electronics,Python,C++,Data Analytics,3,8,Yes,Mid,Security Analyst
BCA,Computer Science,Cloud,Data Analysis,GCP,13,7,Yes,Expert,Data Analyst
M.Tech,Computer Science,Machine Learning,Cloud,Data Analytics,0,3,No,Fresher,ML Engineer
M.Tech,Data Science,C++,C++,GCP,14,7,No,Expert,AI Engineer
MCA,AI,C++,Deep Learning,AWS,13,9,No,Expert,ML Engineer
BCA,Data Science,Data Analysis,Deep Learning,GCP,1,6,Yes,Junior,ML Engineer
B.Tech,Computer Science,Data Analysis,Java,GCP,13,6,No,Expert,Software Developer
B.Tech,Electronics,Machine Learning,Java,Data Analytics,2,0,No,Junior,ML Engineer
MBA,Business,Deep Learning,Machine Learning,AI Specialist,12,5,No,Expert,ML Engineer
MBA,Data Science,Data Analysis,Deep Learning,AWS,14,3,Yes,Expert,ML Engineer
MCA,AI,Data Analysis,Python,Cybersecurity,10,9,Yes,Senior,Data Scientist
B.Tech,Computer Science,Java,Java,Cybersecurity,4,9,Yes,Mid,Software Developer
MCA,Business,Java,C++,AI Specialist,10,9,Yes,Senior,Business Analyst
BCA,Data Science,SQL,SQL,Cybersecurity,7,1,Yes,Senior,Data Analyst
M.Tech,Data Science,Deep Learning,Cloud,AWS,14,9,Yes,Expert,ML Engineer
B.Tech,Data Science,Python,Cloud,Azure,5,6,Yes,Mid,Data Scientist
BCA,Data Science,Cloud,Machine Learning,AWS,2,8,Yes,Junior,ML Engineer
B.Tech,Business,C++,Java,Data Analytics,5,4,Yes,Mid,Business Analyst
MBA,Electronics,SQL,SQL,None,6,7,Yes,Senior,Data Analyst
MCA,AI,Data Analysis,SQL,GCP,5,4,No,Mid,Data Analyst
MBA,AI,Machine Learning,Java,GCP,9,6,Yes,Senior,ML Engineer
M.Tech,Computer Science,Deep Learning,Python,Data Analytics,5,6,Yes,Mid,ML Engineer
MBA,IT,Data Analysis,Python,Data Analytics,0,8,Yes,Fresher,Data Analyst
B.Tech,Electronics,C++,Machine Learning,None,2,2,Yes,Junior,ML Engineer
MBA,Computer Science,Python,Data Analysis,None,6,0,No,Senior,Data Analyst
B.Tech,Computer Science,Python,Python,GCP,3,1,Yes,Mid,Data Analyst
M.Tech,Data Science,Java,Machine Learning,None,11,5,Yes,Expert,ML Engineer
MBA,IT,SQL,Data Analysis,None,3,9,Yes,Mid,Data Analyst
MCA,IT,Data Analysis,Data Analysis,None,6,9,No,Senior,Data Analyst
MCA,Electronics,Machine Learning,C++,AI Specialist,8,8,Yes,Senior,ML Engineer
MCA,IT,C++,Data Analysis,Azure,13,2,Yes,Expert,Data Analyst
MBA,Computer Science,Data Analysis,Java,None,10,9,Yes,Senior,Software Developer
MBA,IT,Cloud,Data Analysis,Azure,12,1,Yes,Expert,Data Analyst
MBA,IT,Python,SQL,Azure,12,0,Yes,Expert,Data Analyst
B.Tech,AI,Data Analysis,Machine Learning,Data Analytics,14,1,Yes,Expert,ML Engineer
M.Tech,Computer Science,C++,Cloud,None,1,2,Yes,Junior,Software Developer
MCA,Business,Machine Learning,Python,GCP,8,6,Yes,Senior,ML Engineer
B.Tech,IT,C++,Cloud,AI Specialist,2,1,Yes,Junior,AI Engineer
MCA,IT,SQL,Machine Learning,GCP,5,4,Yes,Mid,ML Engineer
B.Tech,Data Science,Java,Deep Learning,None,3,1,Yes,Mid,ML Engineer
MBA,IT,C++,Machine Learning,GCP,0,6,Yes,Fresher,ML Engineer
MCA,IT,Deep Learning,Python,None,8,9,Yes,Senior,ML Engineer
MBA,AI,Data Analysis,Deep Learning,AI Specialist,10,7,No,Senior,ML Engineer
MCA,Computer Science,Java,Deep Learning,AWS,14,7,Yes,Expert,ML Engineer
BCA,Electronics,Machine Learning,Data Analysis,AI Specialist,5,7,Yes,Mid,ML Engineer
B.Tech,Computer Science,Java,Python,AWS,7,9,Yes,Senior,Software Developer
BCA,Data Science,C++,Deep Learning,Cybersecurity,14,8,Yes,Expert,ML Engineer
B.Tech,Computer Science,C++,Java,AWS,14,0,Yes,Expert,Software Developer
M.Tech,IT,Deep Learning,SQL,Azure,1,0,Yes,Junior,ML Engineer
MCA,Data Science,Python,Cloud,Azure,6,9,Yes,Senior,Data Scientist
M.Tech,Computer Science,Data Analysis,Java,AI Specialist,5,1,No,Mid,Software Developer
M.Tech,Data Science,Deep Learning,Java,Azure,1,5,Yes,Junior,ML Engineer
B.Tech,Electronics,C++,Python,Azure,1,0,Yes,Junior,Security Analyst
BCA,Computer Science,Cloud,Data Analysis,Cybersecurity,3,4,No,Mid,Data Analyst
MBA,Business,Java,Python,Azure,3,4,Yes,Mid,Business Analyst
B.Tech,IT,Deep Learning,Cloud,Data Analytics,2,3,No,Junior,ML Engineer
MBA,Data Science,Deep Learning,SQL,Data Analytics,7,4,Yes,Senior,ML Engineer
M.Tech,Business,Data Analysis,Machine Learning,Data Analytics,13,0,Yes,Expert,ML Engineer
MBA,Business,Cloud,Java,AWS,6,5,Yes,Senior,Cloud Engineer
BCA,AI,Cloud,Deep Learning,AI Specialist,1,6,No,Junior,ML Engineer
B.Tech,Data Science,Cloud,SQL,AI Specialist,2,7,No,Junior,Data Analyst
BCA,Business,Data Analysis,Java,GCP,9,1,Yes,Senior,Data Analyst
BCA,AI,Python,Machine Learning,Cybersecurity,8,6,Yes,Senior,Data Scientist
B.Tech,Business,C++,Data Analysis,Data Analytics,12,5,Yes,Expert,Data Analyst
BCA,IT,C++,Deep Learning,Data Analytics,4,8,Yes,Mid,ML Engineer
MCA,Electronics,Machine Learning,Java,Azure,1,7,No,Junior,ML Engineer
MCA,AI,Data Analysis,C++,Data Analytics,2,3,Yes,Junior,Data Analyst
MCA,Electronics,Python,Cloud,Azure,7,8,Yes,Senior,Cloud Engineer
MBA,Data Science,Machine Learning,SQL,Azure,3,0,No,Mid,ML Engineer
BCA,IT,Machine Learning,Cloud,GCP,13,5,No,Expert,ML Engineer
B.Tech,AI,Machine Learning,Python,AWS,1,7,Yes,Junior,Data Scientist
B.Tech,Data Science,Data Analysis,Java,Azure,1,3,Yes,Junior,Data Analyst
MBA,Business,SQL,Deep Learning,Azure,5,1,No,Mid,ML Engineer
B.Tech,Computer Science,Machine Learning,Deep Learning,AI Specialist,7,1,Yes,Senior,ML Engineer
MCA,Data Science,Deep Learning,SQL,GCP,6,9,Yes,Senior,ML Engineer
BCA,Electronics,Java,SQL,Azure,3,0,Yes,Mid,Data Analyst
B.Tech,IT,Deep Learning,Cloud,Cybersecurity,1,4,No,Junior,ML Engineer
B.Tech,IT,Deep Learning,Deep Learning,AWS,8,5,Yes,Senior,ML Engineer
M.Tech,Data Science,C++,Deep Learning,Cybersecurity,3,3,Yes,Mid,ML Engineer
M.Tech,Business,SQL,Deep Learning,Data Analytics,8,3,Yes,Senior,ML Engineer
M.Tech,Computer Science,Data Analysis,Java,AWS,4,4,No,Mid,Software Developer
BCA,Electronics,Machine Learning,Deep Learning,Data Analytics,13,4,No,Expert,ML Engineer
MCA,Data Science,C++,Python,AI Specialist,11,8,No,Expert,Data Scientist
MCA,Data Science,Python,Deep Learning,None,14,7,Yes,Expert,Data Scientist
MCA,IT,Python,Python,None,11,8,No,Expert,AI Engineer
BCA,Electronics,Data Analysis,Java,None,10,2,No,Senior,Data Analyst
BCA,Computer Science,C++,SQL,Azure,10,2,No,Senior,Data Analyst
M.Tech,IT,Java,Data Analysis,GCP,13,0,No,Expert,Software Developer
B.Tech,Data Science,Data Analysis,Python,Cybersecurity,6,9,Yes,Senior,Data Scientist
MBA,IT,C++,Java,Data Analytics,11,5,Yes,Expert,Software Developer
MBA,IT,C++,Data Analysis,Azure,4,3,No,Mid,Data Analyst
B.Tech,AI,SQL,Data Analysis,None,14,7,No,Expert,Data Analyst
M.Tech,IT,Data Analysis,Deep Learning,Cybersecurity,1,1,Yes,Junior,ML Engineer
B.Tech,Business,Python,Java,Cybersecurity,5,1,Yes,Mid,Security Analyst
B.Tech,IT,Python,Data Analysis,AI Specialist,6,6,Yes,Senior,Data Analyst
MBA,Business,Machine Learning,Deep Learning,AI Specialist,13,4,Yes,Expert,ML Engineer
M.Tech,Electronics,Deep Learning,Cloud,None,14,0,Yes,Expert,ML Engineer
BCA,IT,Data Analysis,Java,Data Analytics,10,6,No,Senior,Software Developer
MBA,Computer Science,C++,Data Analysis,None,12,6,Yes,Expert,Data Analyst
BCA,Business,Data Analysis,SQL,None,5,9,Yes,Mid,Data Analyst
M.Tech,Business,C++,Python,Azure,12,5,Yes,Expert,Business Analyst
B.Tech,Data Science,Java,Cloud,GCP,13,3,Yes,Expert,Cloud Engineer
MCA,Electronics,Data Analysis,SQL,None,2,7,Yes,Junior,Data Analyst
MCA,IT,Cloud,C++,Data Analytics,9,1,Yes,Senior,Software Developer
M.Tech,Computer Science,Cloud,Deep Learning,Cybersecurity,7,1,Yes,Senior,ML Engineer
MCA,Data Science,Python,Data Analysis,Cybersecurity,2,1,Yes,Junior,Data Scientist
BCA,Electronics,Java,Python,AWS,13,2,Yes,Expert,Security Analyst
MCA,Business,SQL,SQL,None,4,5,Yes,Mid,Data Analyst
M.Tech,Computer Science,Machine Learning,Python,Azure,8,0,Yes,Senior,ML Engineer
M.Tech,IT,Java,C++,AWS,10,1,Yes,Senior,Software Developer
BCA,AI,Python,Machine Learning,AI Specialist,4,9,No,Mid,Data Scientist
MCA,AI,SQL,Deep Learning,GCP,14,1,Yes,Expert,ML Engineer
MCA,Electronics,C++,Deep Learning,Data Analytics,6,0,No,Senior,ML Engineer
B.Tech,Computer Science,SQL,Java,None,10,2,Yes,Senior,Software Developer
MBA,Data Science,Deep Learning,Data Analysis,Cybersecurity,13,9,No,Expert,ML Engineer
M.Tech,Computer Science,Data Analysis,Deep Learning,Azure,6,6,Yes,Senior,ML Engineer
B.Tech,Business,Java,Deep Learning,Cybersecurity,4,0,Yes,Mid,ML Engineer
M.Tech,AI,Python,SQL,None,1,6,Yes,Junior,Data Scientist
B.Tech,Electronics,Java,Cloud,AI Specialist,4,4,Yes,Mid,Security Analyst
MBA,IT,C++,Deep Learning,AWS,6,8,Yes,Senior,ML Engineer
B.Tech,Computer Science,Cloud,Deep Learning,None,6,1,Yes,Senior,ML Engineer
